SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_50_0,1225,2937200,634,157200,216,222600,223,3093900,
seq_50_1,1225,437800,710,254900,224,457700,215,322500,
seq_50_2,1225,407400,775,162200,221,209300,222,183100,
seq_50_3,1225,242400,656,157600,216,285000,226,213500,
seq_50_4,1225,242700,795,163400,218,170100,226,250000,
seq_50_5,1225,438600,669,120100,225,326300,223,327200,
seq_50_6,1225,199600,583,71900,222,120700,211,134000,
seq_50_7,1225,201000,745,128300,211,125300,215,152000,
seq_50_8,1225,205500,751,133100,221,37200,220,120200,
seq_50_9,1225,203400,690,140400,219,60200,214,240500,
seq_50_10,1225,385300,759,133100,221,47000,227,287700,
seq_50_11,1225,363900,653,80500,216,48600,221,132800,
seq_50_12,1225,566600,741,70700,221,46000,212,143800,
seq_50_13,1225,264200,664,166600,222,72000,217,137400,
seq_50_14,1225,191200,771,88200,219,40500,221,127300,
seq_50_15,1225,196800,666,132800,220,62600,214,71000,
seq_50_16,1225,123800,711,57200,222,29900,215,149700,
seq_50_17,1225,211100,675,140200,229,63300,210,67700,
seq_50_18,1225,129300,720,54300,218,34600,214,101800,
seq_50_19,1225,160200,657,49000,221,39800,223,95800,
seq_50_20,1225,119500,656,49800,217,31300,218,75000,
seq_50_21,1225,159600,647,49000,217,36100,216,43400,
seq_50_22,1225,114700,602,46400,223,27900,219,57500,
seq_50_23,1225,227100,707,55200,226,76600,218,48300,
seq_50_24,1225,521300,769,145000,223,85400,220,584200,
seq_50_25,1225,585900,716,108700,225,37800,208,77500,
seq_50_26,1225,548100,627,98600,226,61400,219,73100,
seq_50_27,1225,438600,682,127700,220,66400,208,101900,
seq_50_28,1225,471200,545,81000,215,40700,224,113500,
seq_50_29,1225,713300,689,108300,216,48000,220,67500,
seq_50_30,1225,322300,699,130900,227,62100,198,80900,
seq_50_31,1225,495900,624,76900,223,84300,213,52700,
seq_50_32,1225,510700,680,136400,222,75600,218,95400,
seq_50_33,1225,446500,571,196400,216,63900,221,78600,
seq_50_34,1225,306900,715,69200,228,41700,210,61600,
seq_50_35,1225,407800,558,107100,226,115000,210,61900,
seq_50_36,1225,405700,643,118600,227,123300,214,78700,
seq_50_37,1225,416900,662,126300,226,59800,210,89100,
seq_50_38,1225,394400,669,114000,220,98900,216,71600,
seq_50_39,1225,389100,770,183700,218,59200,221,88000,
seq_50_40,1225,398200,666,134000,224,58300,214,80600,
seq_50_41,1225,456700,646,136600,224,56700,217,77600,
seq_50_42,1225,212600,651,133700,226,68000,215,44800,
seq_50_43,1225,201200,689,137000,219,60100,216,51600,
seq_50_44,1225,201700,644,135800,216,65400,215,45200,
